,class
119499,0
81764,0
70647,1
111512,1
49816,0
95407,1
38773,0
65687,1
126920,0
65736,0
131150,0
57796,1
132874,1
22619,1
51322,1
9247,0
27096,1
116643,0
101326,1
5087,0
113540,0
122264,0
118447,0
129007,1
253,0
133464,1
68259,1
79593,0
131898,0
115672,1
120268,0
107850,1
57086,1
56710,0
57798,0
80244,0
29581,0
102765,0
94522,1
114588,0
44527,0
73512,0
117893,1
25849,1
29811,0
40814,1
106523,1
88739,1
62140,1
24685,0
20879,1
27513,0
130559,0
60645,1
49996,0
28740,1
40608,1
39217,1
103243,0
53609,0
115805,1
45629,1
7454,0
44994,1
79148,0
124055,0
105331,0
106440,1
7378,0
31858,0
27703,1
75294,0
125667,1
132682,1
40957,1
44747,1
12325,0
134163,1
14688,1
94932,1
63814,0
4691,0
43523,0
93288,1
121168,1
67728,1
22714,1
94093,0
58798,1
135577,0
27160,0
62174,1
116277,1
53107,1
31029,0
100499,0
39246,0
106045,1
27137,1
97895,0
66700,0
15506,1
58538,0
40528,0
68117,0
23566,0
86996,0
32553,0
11684,0
15447,0
39998,0
25028,0
4591,1
43399,1
90437,0
78429,0
64202,1
38318,0
45392,0
99495,0
13431,0
101457,0
89743,0
64569,1
6146,0
63302,0
23978,0
12361,1
41490,0
132081,1
90073,1
134538,0
2885,0
99910,1
96748,1
129724,0
109932,0
82538,1
47378,0
106029,0
56349,0
88772,0
97963,0
113962,0
98459,0
128179,0
42065,1
70050,1
85539,0
3036,0
104528,0
133046,0
17340,0
39477,0
74324,1
101391,0
97483,1
174,0
43474,0
62569,0
106320,1
49527,1
71800,0
53156,1
67416,0
14528,0
105598,0
90493,1
78480,0
9188,1
70576,1
99805,0
46727,1
28531,0
44982,0
9870,0
3002,0
127361,1
117294,1
72391,1
61068,0
14836,1
133451,0
36096,1
84408,1
30474,1
87619,0
5378,0
134924,0
57304,1
112138,0
30800,1
101508,0
74588,1
61352,0
63428,0
8581,0
54013,0
52509,0
80684,1
26446,1
130828,1
111504,1
49976,0
5652,0
20204,0
67068,0
83303,1
85130,1
14333,1
22623,0
67911,0
76425,0
119705,1
122977,1
89138,1
73353,1
90820,1
64905,0
70200,0
41757,1
5671,0
14211,0
75095,1
2976,0
72129,0
103578,0
71756,0
31161,1
75027,1
107687,0
74517,1
32748,1
39443,0
83342,1
56191,1
14124,0
69885,0
17612,0
132390,1
124465,0
57370,0
30901,0
158,1
103720,1
37774,0
3398,0
109068,0
88181,0
53445,0
123809,1
128733,0
58136,0
108064,0
18885,0
57207,0
128136,0
7538,1
136376,1
17943,0
127397,0
12378,1
58560,1
129074,1
15490,0
51657,0
73322,1
87155,0
108964,1
30042,0
9109,0
8591,1
83186,0
51310,1
105904,1
90812,1
121442,0
136781,0
101426,0
130114,0
76505,0
62690,0
90901,1
26686,0
126514,0
17412,0
11763,0
84461,0
72019,0
128640,0
36926,1
91841,0
39254,0
103774,1
92113,1
79658,1
136314,0
45287,0
86720,0
78183,0
53916,0
53646,0
51622,0
111699,0
134216,0
59839,1
78534,0
74866,1
135195,1
557,0
52756,0
58551,1
55588,0
106264,1
32674,1
25549,1
61650,1
8833,0
5760,0
69006,0
40699,0
82141,0
100720,0
45114,0
101285,0
133233,1
85796,1
5793,0
111441,0
31542,0
96895,0
108923,0
106806,0
108204,0
69809,0
37030,1
56944,1
73399,0
107219,0
63154,1
132901,0
41743,0
54003,0
62055,1
81523,0
93395,1
85669,1
101800,0
12062,1
126901,1
538,0
6144,1
97609,1
51835,1
106549,1
62344,0
55132,1
39955,0
9491,0
83898,0
38438,0
108844,0
67897,0
47552,1
76690,1
101086,0
52843,1
49852,0
46257,0
36503,1
101947,0
32182,0
130098,0
104904,0
87575,0
85326,0
4031,0
92595,0
127481,0
116605,1
76965,0
80316,1
110942,0
137552,1
68351,0
126092,0
129215,0
106508,1
22680,0
39927,1
7308,1
2024,0
41569,0
113213,0
101414,0
6381,0
82481,1
37914,0
130870,0
136428,0
118982,0
45006,1
84615,1
107609,1
38589,0
9051,1
113605,1
91885,0
16482,0
10795,0
26875,0
123337,1
123323,0
99474,1
126206,1
63867,1
39470,0
52393,0
130187,1
7279,1
33356,0
39662,0
81144,0
45039,0
86201,1
82295,0
130547,1
114078,0
108707,0
79314,1
10415,0
44403,1
121689,1
128739,1
48216,0
91255,0
18224,0
83060,1
34461,0
107079,0
131865,1
122839,0
5140,0
137672,0
6948,1
118319,1
45856,0
82186,0
14938,0
133334,1
109513,1
122382,1
35830,0
2111,1
9723,0
128019,0
48224,0
6664,0
72813,1
46566,0
10380,1
120454,0
39985,0
65116,1
136350,0
20140,0
45507,0
86137,0
85020,0
108476,0
13545,0
106738,0
111778,0
108449,1
21034,1
12195,0
118907,1
83789,0
33677,1
72935,0
15929,1
830,0
58488,0
